Transaction ID,Filtered Transaction
Tran6010," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran6011,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran6012,"Bakery Items ,  Bulk Fruits "
Tran6013,"Bakery Items ,  Garden Supplies"
Tran6014,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran6015," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran6016,"Jewelry,  Jewelry"
Tran6017," Bakery Items ,  Optical Items,  Optical Items"
Tran6018,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran6019,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran6020," Bulk Vegetables ,  Tires ,  Garden Supplies,  Bulk Vegetables "
Tran5021,"Bulk Fruits ,  Bulk Fruits "
Tran5022," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5024,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies,  Cleaning Supplies"
Tran5025,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5026,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran5027,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5028,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5029," Bakery Items ,  Optical Items,  Optical Items,  Optical Items"
Tran5030,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5031,"Jewelry ,  Bulk Vegetables"
Tran5032,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5033," Optical Items ,  Bulk Fruits ,  Bulk Fruits "
Tran5034," Cleaning Supplies,  Cleaning Supplies"
Tran5035," Tires,  Tires"
Tran5036," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5037,"Bakery Items ,  Garden Supplies"
Tran5038,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran5039,"Bakery Items ,  Bulk Fruits "
Tran5040," Bakery Items ,  Optical Items,  Optical Items"
Tran5042,"Bulk Fruits ,  Bulk Fruits "
Tran5043,"Bakery Items ,  Garden Supplies"
Tran5044," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5045,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5046,"Optical Items,  Optical Items"
Tran5047,"Optical Items,  Optical Items"
Tran5048," Bulk Vegetables ,  Tires ,  Garden Supplies,  Bulk Vegetables "
Tran5049,"Bakery Items ,  Bulk Fruits "
Tran5050," Bulk Vegetables ,  Tires ,  Garden Supplies,  Bulk Vegetables "
Tran5051,"Bakery Items ,  Bulk Fruits "
Tran5053,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5054,"Bulk Fruits ,  Bulk Fruits "
Tran5055," Bakery Items ,  Optical Items,  Optical Items"
Tran5056," Bakery Items ,  Optical Items,  Optical Items"
Tran5057," Cleaning Supplies,  Cleaning Supplies"
Tran5059," Cleaning Supplies,  Cleaning Supplies"
Tran5060,"Bakery Items ,  Bulk Fruits "
Tran5061," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5062,"Jewelry ,  Bulk Vegetables"
Tran5063," Optical Items ,  Bulk Fruits ,  Bulk Fruits "
Tran5064," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5065,"Optical Items,  Optical Items"
Tran5066,"Bakery Items ,  Garden Supplies"
Tran5067," Optical Items ,  Bulk Fruits ,  Bulk Fruits "
Tran5068,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran5069,"Bakery Items ,  Garden Supplies"
Tran5070,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5072,"Jewelry ,  Bulk Vegetables"
Tran5073,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran5075,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5076,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran5078,"Optical Items,  Optical Items"
Tran5079,"Bulk Fruits ,  Bulk Fruits "
Tran5080,"Optical Items,  Optical Items"
Tran5081,"Bulk Fruits ,  Bulk Fruits "
Tran5082,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5083,"Bulk Fruits ,  Bulk Fruits "
Tran5084,"Bulk Fruits ,  Bulk Fruits "
Tran5085,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5086,"Garden Supplies ,  Tires ,  Garden Supplies ,  Garden Supplies "
Tran5087,"Optical Items,  Optical Items"
Tran5088,"Bakery Items ,  Bulk Fruits "
Tran5089,"Jewelry,  Jewelry"
Tran5090," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5091,"Jewelry ,  Bulk Vegetables"
Tran5092,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran5093,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5094,"Jewelry ,  Bulk Vegetables"
Tran5095," Bakery Items ,  Optical Items,  Optical Items"
Tran5096,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran5097," Jewelry ,  Bulk Fruits ,  Optical Items,  Optical Items"
Tran5098,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran5099," Optical Items ,  Bulk Fruits ,  Bulk Fruits "
Tran5100," Bulk Vegetables ,  Tires ,  Garden Supplies,  Bulk Vegetables "
Tran5101, Garden Supplies
Tran5103,"Bulk Fruits ,  Bulk Fruits "
Tran5105,"Jewelry ,  Bulk Vegetables"
Tran5106,"Garden Supplies ,  Tires ,  Garden Supplies "
Tran5108,"Bulk Fruits ,  Tires ,  Jewelry,  Tires "
Tran5109,"Bakery Items ,  Bulk Fruits "
Tran5110,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5111,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5112,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5113,"Jewelry ,  Bulk Vegetables"
Tran5114,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5115,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5117,"Jewelry,  Jewelry"
Tran5118,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5119,"Bulk Fruits ,  Bulk Fruits "
Tran5120,"Jewelry ,  Bulk Vegetables"
Tran5121," Bakery Items ,  Optical Items,  Optical Items"
Tran5122,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5123,"Bakery Items ,  Bulk Fruits,  Bulk Fruits"
Tran5124,"Bulk Fruits ,  Bulk Fruits "
Tran5125,"Optical Items,  Optical Items"
Tran5126, Garden Supplies
Tran5128,"Bakery Items ,  Optical Items ,  Cleaning Supplies,  Cleaning Supplies"
Tran5129," Bakery Items ,  Optical Items,  Optical Items"
Tran5130,"Jewelry ,  Bulk Vegetables"
Tran5131,"Cleaning Supplies ,  Garden Supplies ,  Bulk Vegetables ,  Garden Supplies "
Tran5132,"Bakery Items ,  Bulk Fruits "
Tran5133,"Jewelry,  Jewelry"
Tran5135, Garden Supplies
Tran5136,"Garden Supplies ,  Tires ,  Garden Supplies "
